NewsTitle,NewsDate,Region,Province,Department,Link_News
"จังหวัดพัทลุง ดีเดย์ฉีดวัคซีนไฟเซอร์นักเรียน นักศึกษา รอบแรก 14,820 โดส",4/10/2021,ภาคใต้,พัทลุง,สำนักงานประชาสัมพันธ์จังหวัดพัทลุง,https://thainews.prd.go.th/th/news/detail/TCATG211004173426007
จ.อุดรธานีพร้อมฉีดวัคซีนไฟเชอร์นักเรียนเข็มแรก 6 ตุลาคมนี้,4/10/2021,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,สำนักงานประชาสัมพันธ์จังหวัดอุดรธานี,https://thainews.prd.go.th/th/news/detail/TCATG211004181855023
สสจ.แถลงข่าวการติดเชื้อโควิดในพื้นที่,4/10/2021,ภาคใต้,นครศรีธรรมราช,สำนักงานประชาสัมพันธ์จังหวัดนครศรีธรรมราช,https://thainews.prd.go.th/th/news/detail/TCATG211004213358073
เดินหน้าฉีดวัคซีนนักเรียนเตรียมเปิดเทอมอย่างปลอดภัย มุ่งสู่หมุดหมายการเปิดเมือง เปิดประเทศ,4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211004200518046
"จ.นราธิวาส Kick Off “ สถานศึกษาปลอดภัย เด็กได้รับวัคซีนถ้วนหน้า” เร่งฉีดวัคซีนไฟเซอร์ให้นักเรียนเพื่อสร้างภูมิคุ้มกันหมู่ ให้เป็นไปตามเป้า 70 % จำนวน 60,708 คน เริ่มฉีดเข็มแรกวันนี้ 156 ราย",4/10/2021,ภาคใต้,นราธิวาส,สำนักงานประชาสัมพันธ์จังหวัดนราธิวาส,https://thainews.prd.go.th/th/news/detail/TCATG211004185441029
"ศรีสะเกษ Kick Off ""สร้างเกาะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม เขตสุขภาพที่ 10""",4/10/2021,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,สวท.ศรีสะเกษ,https://thainews.prd.go.th/th/news/detail/TCATG211004201446052
จ.ศรีสะเกษร่วม Kick off ฉีดวัคซีนสร้างเกราะป้องกันเด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม,4/10/2021,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,สำนักงานประชาสัมพันธ์จังหวัดศรีสะเกษ,https://thainews.prd.go.th/th/news/detail/TCATG211004214515075
"จังหวัดสงขลา เดินหน้าฉีดวัคซีนไฟเซอร์ ให้นักเรียนนักศึกษา อายุระหว่าง 12-18 ปี หลังได้รับการจัดสรรกว่า 44,000 โดส ให้ทันการเปิดภาคเรียนที่ 2 ในวันที่ 1 พฤศจิกายนนี้",4/10/2021,ภาคใต้,สงขลา,สำนักงานประชาสัมพันธ์จังหวัดสงขลา,https://thainews.prd.go.th/th/news/detail/TCATG211004203842065
เมืองคอน คิกออฟฉีดวัคซีนไฟเซอร์นักเรียน รับเปิดเทอม,4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สวท.นครศรีธรรมราช,https://thainews.prd.go.th/th/news/detail/TCATG211004221038081
"ศึกษาธิการ จ.ประจวบฯ เตรียมพร้อมแผนฉีดวัคซีนไฟเซอร์ให้เด็กนักเรียน อายุ 12-18 ปี หลังได้รับวัคซีนล็อตแรกกว่า 15,000 โดส",5/10/2021,ภาคตะวันตก,ประจวบคีรีขันธ์,สวท.ประจวบคีรีขันธ์,https://thainews.prd.go.th/th/news/detail/TCATG211005084741096
ยะลา Kick off  ฉีดวัคซีนไฟเซอร์ นักเรียน เตรียมพร้อมก่อนเปิดเทอมเรียน On Site,5/10/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211005095652123
